WARNING: io_pressure is 2551.1104281386115; tdiff = 9.37670111656189
WARNING: io_pressure is 50448.00396988443; tdiff = 1.0781397819519043
WARNING: io_pressure is 0.0; tdiff = 1.015068531036377
WARNING: io_pressure is 0.0; tdiff = 0.009170293807983398
WARNING: io_pressure is 0.0; tdiff = 0.006640434265136719
WARNING: io_pressure is 0.0; tdiff = 0.005966901779174805
WARNING: io_pressure is 0.0; tdiff = 0.00582575798034668
WARNING: io_pressure is 0.0; tdiff = 0.005890369415283203
WARNING: io_pressure is 0.0; tdiff = 0.005780458450317383
WARNING: io_pressure is 0.0; tdiff = 0.005305290222167969
WARNING: io_pressure is 0.0; tdiff = 0.005245208740234375
WARNING: io_pressure is 0.0; tdiff = 0.0053064823150634766
WARNING: io_pressure is 0.0; tdiff = 0.005231380462646484
WARNING: io_pressure is 0.0; tdiff = 0.005194902420043945
WARNING: io_pressure is 0.0; tdiff = 0.004774332046508789
WARNING: io_pressure is 0.0; tdiff = 0.004276275634765625
WARNING: io_pressure is 0.0; tdiff = 0.004232883453369141
WARNING: io_pressure is 0.0; tdiff = 0.003859281539916992
WARNING: io_pressure is 0.0; tdiff = 0.0036346912384033203
WARNING: io_pressure is 0.0; tdiff = 0.003380298614501953
WARNING: io_pressure is 0.0; tdiff = 0.003171205520629883
WARNING: io_pressure is 0.0; tdiff = 0.003030538558959961
WARNING: io_pressure is 0.0; tdiff = 0.002929210662841797
WARNING: io_pressure is 0.0; tdiff = 0.002857208251953125
WARNING: io_pressure is 0.0; tdiff = 0.0026590824127197266
WARNING: io_pressure is 0.0; tdiff = 0.002582550048828125
WARNING: io_pressure is 0.0; tdiff = 0.002490997314453125
WARNING: io_pressure is 0.0; tdiff = 0.0024166107177734375
WARNING: io_pressure is 0.0; tdiff = 0.0023736953735351562
WARNING: io_pressure is 0.0; tdiff = 0.0022568702697753906
WARNING: io_pressure is 0.0; tdiff = 0.0022516250610351562
WARNING: io_pressure is 0.0; tdiff = 0.0021741390228271484
WARNING: io_pressure is 0.0; tdiff = 0.002165079116821289
WARNING: io_pressure is 0.0; tdiff = 0.002173185348510742
WARNING: io_pressure is 0.0; tdiff = 0.0021703243255615234
WARNING: io_pressure is 0.0; tdiff = 0.0021719932556152344
WARNING: io_pressure is 0.0; tdiff = 0.0021886825561523438
WARNING: io_pressure is 0.0; tdiff = 0.002254486083984375
WARNING: io_pressure is 0.0; tdiff = 0.0021207332611083984
WARNING: io_pressure is 0.0; tdiff = 0.0021305084228515625
WARNING: io_pressure is 0.0; tdiff = 0.0021195411682128906
WARNING: io_pressure is 0.0; tdiff = 0.0021364688873291016
WARNING: io_pressure is 0.0; tdiff = 0.0021877288818359375
WARNING: io_pressure is 0.0; tdiff = 0.0021424293518066406
WARNING: io_pressure is 0.0; tdiff = 0.0021190643310546875
WARNING: io_pressure is 0.0; tdiff = 0.0021419525146484375
WARNING: io_pressure is 0.0; tdiff = 0.0024085044860839844
WARNING: io_pressure is 0.0; tdiff = 0.0021712779998779297
WARNING: io_pressure is 0.0; tdiff = 0.002151966094970703
WARNING: io_pressure is 0.0; tdiff = 0.0021126270294189453
WARNING: io_pressure is 0.0; tdiff = 0.0023009777069091797
WARNING: io_pressure is 0.0; tdiff = 0.0022933483123779297
WARNING: io_pressure is 0.0; tdiff = 0.002260923385620117
WARNING: io_pressure is 0.0; tdiff = 0.002270221710205078
WARNING: io_pressure is 0.0; tdiff = 0.0022706985473632812
WARNING: io_pressure is 0.0; tdiff = 0.0023043155670166016
WARNING: io_pressure is 0.0; tdiff = 0.00226593017578125
WARNING: io_pressure is 0.0; tdiff = 0.0022656917572021484
WARNING: io_pressure is 0.0; tdiff = 0.002274751663208008
WARNING: io_pressure is 0.0; tdiff = 0.0022735595703125
WARNING: io_pressure is 0.0; tdiff = 0.0022668838500976562
WARNING: io_pressure is 0.0; tdiff = 0.002264738082885742
WARNING: io_pressure is 0.0; tdiff = 0.0022525787353515625
WARNING: io_pressure is 0.0; tdiff = 0.0022869110107421875
WARNING: io_pressure is 0.0; tdiff = 0.0022754669189453125
WARNING: io_pressure is 0.0; tdiff = 0.0022656917572021484
WARNING: io_pressure is 0.0; tdiff = 0.002267122268676758
WARNING: io_pressure is 0.0; tdiff = 0.00225067138671875
WARNING: io_pressure is 0.0; tdiff = 0.0022695064544677734
WARNING: io_pressure is 0.0; tdiff = 0.0022788047790527344
WARNING: io_pressure is 0.0; tdiff = 0.002274751663208008
WARNING: io_pressure is 0.0; tdiff = 0.002292633056640625
WARNING: io_pressure is 0.0; tdiff = 0.002285003662109375
WARNING: io_pressure is 0.0; tdiff = 0.002294778823852539
WARNING: io_pressure is 0.0; tdiff = 0.0022635459899902344
WARNING: io_pressure is 0.0; tdiff = 0.0023169517517089844
WARNING: io_pressure is 0.0; tdiff = 0.0021588802337646484
WARNING: io_pressure is 0.0; tdiff = 0.002314329147338867
WARNING: io_pressure is 0.0; tdiff = 0.002170562744140625
WARNING: io_pressure is 0.0; tdiff = 0.07307577133178711
WARNING: io_pressure is 0.0; tdiff = 0.002560853958129883
WARNING: io_pressure is 0.0; tdiff = 0.002357006072998047
WARNING: io_pressure is 0.0; tdiff = 0.0022530555725097656
WARNING: io_pressure is 0.0; tdiff = 0.00222015380859375
WARNING: io_pressure is 0.0; tdiff = 0.003270387649536133
WARNING: io_pressure is 0.0; tdiff = 0.018936634063720703
WARNING: io_pressure is 0.0; tdiff = 0.017096996307373047
WARNING: io_pressure is 0.0; tdiff = 0.05088090896606445
WARNING: io_pressure is 0.0; tdiff = 0.002688884735107422
WARNING: io_pressure is 0.0; tdiff = 0.0024585723876953125
WARNING: io_pressure is 0.0; tdiff = 0.0029554367065429688
WARNING: io_pressure is 0.0; tdiff = 0.002609729766845703
WARNING: io_pressure is 0.0; tdiff = 0.0023984909057617188
WARNING: io_pressure is 0.0; tdiff = 0.0024847984313964844
WARNING: io_pressure is 0.0; tdiff = 0.0023179054260253906
WARNING: io_pressure is 0.0; tdiff = 0.002333402633666992
WARNING: io_pressure is 0.0; tdiff = 0.002358675003051758
WARNING: io_pressure is 0.0; tdiff = 0.0021965503692626953
WARNING: io_pressure is 0.0; tdiff = 0.012697696685791016
WARNING: io_pressure is 0.0; tdiff = 0.0024192333221435547
WARNING: io_pressure is 0.0; tdiff = 0.0023064613342285156
WARNING: io_pressure is 0.0; tdiff = 0.0024261474609375
WARNING: io_pressure is 0.0; tdiff = 0.002290964126586914
WARNING: io_pressure is 0.0; tdiff = 0.0022916793823242188
WARNING: io_pressure is 0.0; tdiff = 0.0021741390228271484
WARNING: io_pressure is 0.0; tdiff = 0.0022101402282714844
WARNING: io_pressure is 0.0; tdiff = 0.025072336196899414
WARNING: io_pressure is 0.0; tdiff = 0.0026009082794189453
WARNING: io_pressure is 0.0; tdiff = 0.002348661422729492
WARNING: io_pressure is 0.0; tdiff = 0.0022449493408203125
WARNING: io_pressure is 0.0; tdiff = 0.0023927688598632812
WARNING: io_pressure is 0.0; tdiff = 0.0022313594818115234
WARNING: io_pressure is 0.0; tdiff = 0.002261638641357422
WARNING: io_pressure is 0.0; tdiff = 0.0022325515747070312
WARNING: io_pressure is 0.0; tdiff = 0.0027968883514404297
WARNING: io_pressure is 0.0; tdiff = 0.002773284912109375
WARNING: io_pressure is 0.0; tdiff = 0.002429962158203125
WARNING: io_pressure is 0.0; tdiff = 0.0024657249450683594
WARNING: io_pressure is 0.0; tdiff = 0.002353191375732422
WARNING: io_pressure is 0.0; tdiff = 0.00229644775390625
WARNING: io_pressure is 0.0; tdiff = 0.012068748474121094
WARNING: io_pressure is 0.0; tdiff = 0.013376474380493164
WARNING: io_pressure is 0.0; tdiff = 0.0026311874389648438
WARNING: io_pressure is 0.0; tdiff = 0.002310037612915039
WARNING: io_pressure is 0.0; tdiff = 0.002508878707885742
WARNING: io_pressure is 0.0; tdiff = 0.0021991729736328125
WARNING: io_pressure is 0.0; tdiff = 0.0022439956665039062
WARNING: io_pressure is 0.0; tdiff = 0.002228975296020508
WARNING: io_pressure is 0.0; tdiff = 0.0021877288818359375
WARNING: io_pressure is 0.0; tdiff = 0.002182483673095703
WARNING: io_pressure is 0.0; tdiff = 0.00218963623046875
WARNING: io_pressure is 0.0; tdiff = 0.0021622180938720703
WARNING: io_pressure is 0.0; tdiff = 0.0021893978118896484
WARNING: io_pressure is 0.0; tdiff = 0.0023584365844726562
WARNING: io_pressure is 0.0; tdiff = 0.002237558364868164
WARNING: io_pressure is 0.0; tdiff = 0.002286195755004883
WARNING: io_pressure is 0.0; tdiff = 0.00223541259765625
WARNING: io_pressure is 0.0; tdiff = 0.002240896224975586
WARNING: io_pressure is 0.0; tdiff = 0.0022487640380859375
WARNING: io_pressure is 0.0; tdiff = 0.0021927356719970703
WARNING: io_pressure is 0.0; tdiff = 0.0021898746490478516
WARNING: io_pressure is 0.0; tdiff = 0.002209186553955078
WARNING: io_pressure is 0.0; tdiff = 0.002244234085083008
WARNING: io_pressure is 0.0; tdiff = 0.002405405044555664
WARNING: io_pressure is 0.0; tdiff = 0.002288341522216797
WARNING: io_pressure is 0.0; tdiff = 0.002531766891479492
WARNING: io_pressure is 0.0; tdiff = 0.0024046897888183594
WARNING: io_pressure is 0.0; tdiff = 0.002331972122192383
WARNING: io_pressure is 0.0; tdiff = 0.00234222412109375
WARNING: io_pressure is 0.0; tdiff = 0.0022809505462646484
WARNING: io_pressure is 0.0; tdiff = 0.0024259090423583984
WARNING: io_pressure is 0.0; tdiff = 0.0022242069244384766
WARNING: io_pressure is 0.0; tdiff = 0.0022575855255126953
WARNING: io_pressure is 0.0; tdiff = 0.0022695064544677734
WARNING: io_pressure is 0.0; tdiff = 0.0024955272674560547
WARNING: io_pressure is 0.0; tdiff = 0.0023512840270996094
WARNING: io_pressure is 0.0; tdiff = 0.0022919178009033203
WARNING: io_pressure is 0.0; tdiff = 0.002226114273071289
WARNING: io_pressure is 81010.57973568283; tdiff = 0.0173187255859375
WARNING: io_pressure is 178422.49508868146; tdiff = 1.0026426315307617
WARNING: io_pressure is 99928.25907683869; tdiff = 2.371331214904785
WARNING: io_pressure is 1011.7089337394225; tdiff = 1.0694775581359863
WARNING: io_pressure is 84144.53084620928; tdiff = 1.0100953578948975
WARNING: io_pressure is 7462.700695234069; tdiff = 1.017996072769165
WARNING: io_pressure is 114.6253105828195; tdiff = 1.0556132793426514
WARNING: io_pressure is 238.90279802051188; tdiff = 1.0673797130584717
WARNING: io_pressure is 0.0; tdiff = 1.0367841720581055
WARNING: io_pressure is 1642.2971389910688; tdiff = 0.0895087718963623
WARNING: io_pressure is 12902.473728454457; tdiff = 1.0099613666534424
WARNING: io_pressure is 6837.2828795587375; tdiff = 1.008002758026123
WARNING: io_pressure is 29.000152111851325; tdiff = 0.9999947547912598
WARNING: io_pressure is 2189.985902400168; tdiff = 1.0000064373016357
WARNING: io_pressure is 986.8407696552059; tdiff = 1.0011746883392334
WARNING: io_pressure is 1684.933475689529; tdiff = 0.9988524913787842
WARNING: io_pressure is 170.98654709803048; tdiff = 1.0000786781311035
WARNING: io_pressure is 230.9919043040436; tdiff = 1.000035047531128
WARNING: io_pressure is 66824.51321039419; tdiff = 1.0011296272277832
WARNING: io_pressure is 113248.93334844569; tdiff = 1.1022443771362305
WARNING: io_pressure is 203479.363362582; tdiff = 1.0738976001739502
WARNING: io_pressure is 200661.34031361612; tdiff = 1.0274126529693604
WARNING: io_pressure is 278978.018374871; tdiff = 1.0000286102294922
WARNING: io_pressure is 211008.64651025977; tdiff = 1.0001959800720215
WARNING: io_pressure is 239943.6806636274; tdiff = 1.0006556510925293
WARNING: io_pressure is 12183.637117704033; tdiff = 1.1015594005584717
WARNING: io_pressure is 1067.970463615947; tdiff = 1.0000276565551758
WARNING: io_pressure is 551.638006220323; tdiff = 1.0187840461730957
WARNING: io_pressure is 1131.9582579973169; tdiff = 1.0936799049377441
WARNING: io_pressure is 426.98277231940494; tdiff = 1.091378927230835
WARNING: io_pressure is 2332.5862482887337; tdiff = 1.006608009338379
WARNING: io_pressure is 1625.7685723637933; tdiff = 1.0954818725585938
WARNING: io_pressure is 2038.6495565580658; tdiff = 1.0001718997955322
WARNING: io_pressure is 503.79862107115383; tdiff = 1.036128282546997
WARNING: io_pressure is 4944.80706751612; tdiff = 1.0653600692749023
WARNING: io_pressure is 1640.8720728950889; tdiff = 1.0000779628753662
WARNING: io_pressure is 6711.515248277175; tdiff = 0.9999232292175293
WARNING: io_pressure is 4429.980603453411; tdiff = 1.100682020187378
WARNING: io_pressure is 6252.579128968493; tdiff = 1.0768356323242188
WARNING: io_pressure is 879.9974823070079; tdiff = 1.0000028610229492
WARNING: io_pressure is 124236.79015441194; tdiff = 0.9999372959136963
WARNING: io_pressure is 186346.268013355; tdiff = 1.0000200271606445
WARNING: io_pressure is 0.0; tdiff = 1.0000898838043213
WARNING: io_pressure is 0.0; tdiff = 0.07874345779418945
WARNING: io_pressure is 0.0; tdiff = 0.03340554237365723
WARNING: io_pressure is 0.0; tdiff = 0.04926180839538574
WARNING: io_pressure is 0.0; tdiff = 0.012816905975341797
WARNING: io_pressure is 54966.74998052512; tdiff = 0.11936306953430176
WARNING: io_pressure is 28848.265012100488; tdiff = 1.0208239555358887
WARNING: io_pressure is 52222.97556655892; tdiff = 1.0459764003753662
WARNING: io_pressure is 5531.543487778208; tdiff = 1.0537745952606201
WARNING: io_pressure is 24635.617469275883; tdiff = 1.0956900119781494
WARNING: io_pressure is 45.176209088089486; tdiff = 1.084641695022583
WARNING: io_pressure is 780.4382489182001; tdiff = 1.0225024223327637
WARNING: io_pressure is 165901.38970923182; tdiff = 1.0959763526916504
WARNING: io_pressure is 444423.7722721062; tdiff = 1.0075631141662598
WARNING: io_pressure is 529463.7116669501; tdiff = 1.027660608291626
WARNING: io_pressure is 304820.4834978825; tdiff = 1.0118775367736816
WARNING: io_pressure is 297300.37041735055; tdiff = 1.0800087451934814
WARNING: io_pressure is 16523.606116927367; tdiff = 1.0702264308929443
WARNING: io_pressure is 8457.139096781666; tdiff = 1.0045950412750244
WARNING: io_pressure is 5818.571450804195; tdiff = 1.0846304893493652
WARNING: io_pressure is 655.0874716064051; tdiff = 1.1036694049835205
WARNING: io_pressure is 84.10312613910041; tdiff = 0.9987738132476807
WARNING: io_pressure is 10950.180242104083; tdiff = 1.0052802562713623
WARNING: io_pressure is 0.0; tdiff = 1.100804328918457
WARNING: io_pressure is 0.0; tdiff = 0.06340479850769043
WARNING: io_pressure is 0.0; tdiff = 0.015772581100463867
WARNING: io_pressure is 96223.22792838543; tdiff = 0.08826351165771484
WARNING: io_pressure is 21760.249766856345; tdiff = 1.0405211448669434
WARNING: io_pressure is 16623.812508635714; tdiff = 1.0128843784332275
WARNING: io_pressure is 747.6666582462977; tdiff = 1.00044584274292
WARNING: io_pressure is 2484.0545180650183; tdiff = 0.9975626468658447
WARNING: io_pressure is 2251.091652016688; tdiff = 0.9995150566101074
WARNING: io_pressure is 416.05660388420046; tdiff = 1.016688585281372
WARNING: io_pressure is 33874.57940082706; tdiff = 1.0727808475494385
WARNING: io_pressure is 11562.988552996265; tdiff = 1.0964293479919434
WARNING: io_pressure is 5045.98534053187; tdiff = 1.0273513793945312
WARNING: io_pressure is 0.0; tdiff = 1.07930326461792
WARNING: io_pressure is 0.0; tdiff = 0.026981592178344727
WARNING: io_pressure is 0.0; tdiff = 0.0027441978454589844
WARNING: io_pressure is 0.0; tdiff = 0.0025703907012939453
WARNING: io_pressure is 0.0; tdiff = 0.002794504165649414
WARNING: io_pressure is 0.0; tdiff = 0.0027756690979003906
WARNING: io_pressure is 0.0; tdiff = 0.002698183059692383
WARNING: io_pressure is 0.0; tdiff = 0.0027093887329101562
WARNING: io_pressure is 0.0; tdiff = 0.002705097198486328
WARNING: io_pressure is 0.0; tdiff = 0.002454519271850586
WARNING: io_pressure is 0.0; tdiff = 0.002457857131958008
WARNING: io_pressure is 0.0; tdiff = 0.0024566650390625
WARNING: io_pressure is 0.0; tdiff = 0.0024709701538085938
WARNING: io_pressure is 0.0; tdiff = 0.0024433135986328125
WARNING: io_pressure is 0.0; tdiff = 0.002336263656616211
WARNING: io_pressure is 0.0; tdiff = 0.0023260116577148438
WARNING: io_pressure is 0.0; tdiff = 0.0022797584533691406
WARNING: io_pressure is 4642.164464557958; tdiff = 0.3366963863372803
WARNING: io_pressure is 3180.134521321227; tdiff = 1.0496411323547363
WARNING: io_pressure is 23014.28599565682; tdiff = 1.0327932834625244
WARNING: io_pressure is 112635.02774633905; tdiff = 1.0014557838439941
WARNING: io_pressure is 702617.2500326214; tdiff = 1.0195565223693848
WARNING: io_pressure is 378231.58986633533; tdiff = 1.0008735656738281
WARNING: io_pressure is 520653.47785547475; tdiff = 1.081056833267212
WARNING: io_pressure is 190748.8448000638; tdiff = 1.1001639366149902
WARNING: io_pressure is 308395.9142942881; tdiff = 1.032069444656372
WARNING: io_pressure is 19056.50573371175; tdiff = 1.078634262084961
WARNING: io_pressure is 837.9160945988342; tdiff = 1.0001001358032227
WARNING: io_pressure is 822.407102486135; tdiff = 1.008016586303711
WARNING: io_pressure is 0.0; tdiff = 1.0830457210540771
WARNING: io_pressure is 0.0; tdiff = 0.03832745552062988
WARNING: io_pressure is 0.0; tdiff = 0.0026662349700927734
WARNING: io_pressure is 0.0; tdiff = 0.0022313594818115234
WARNING: io_pressure is 0.0; tdiff = 0.0022792816162109375
WARNING: io_pressure is 0.0; tdiff = 0.022960901260375977
WARNING: io_pressure is 79221.06012647007; tdiff = 0.020171403884887695
WARNING: io_pressure is 198836.76107713243; tdiff = 1.0462300777435303
WARNING: io_pressure is 29724.826443513884; tdiff = 1.0481810569763184
WARNING: io_pressure is 15857.984538008443; tdiff = 1.0081987380981445
WARNING: io_pressure is 40131.71373079899; tdiff = 1.0112700462341309
WARNING: io_pressure is 10670.133349112619; tdiff = 1.055656909942627
WARNING: io_pressure is 10819.727248550405; tdiff = 1.0004873275756836
WARNING: io_pressure is 62.54400100856991; tdiff = 1.0552570819854736
